original_path,new_path,result,reason,hash_before,hash_after
C:\Users\suppo\Downloads\New Music\Top1000\Ozuna - Se Preparó ｜ Odisea.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ozuna - Se Preparó ｜ Odisea.mp3,applied,success,88b8d30ff9960b2c2c0fc9e5df8cff56a7aab2ca686152941d8a048550d88654,88b8d30ff9960b2c2c0fc9e5df8cff56a7aab2ca686152941d8a048550d88654
C:\Users\suppo\Downloads\New Music\Top1000\Paul Damixie - Hypnotised ｜ Official Visualiser.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Paul Damixie - Hypnotised ｜ Official Visualiser.mp3,applied,success,99ed26307b6e2659a6782a9c3e27a17ba2bb28718f5a689c831d6f2702fa215d,99ed26307b6e2659a6782a9c3e27a17ba2bb28718f5a689c831d6f2702fa215d
C:\Users\suppo\Downloads\New Music\Top1000\Paul Damixie - Secrets ｜ Official Music Video.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Paul Damixie - Secrets ｜ Official Music Video.mp3,applied,success,5590b6cb2f3dd7f1566386a56a28a53ab08c73e61a1b1c8c5f59b8e73ea01c66,5590b6cb2f3dd7f1566386a56a28a53ab08c73e61a1b1c8c5f59b8e73ea01c66
C:\Users\suppo\Downloads\New Music\Top1000\Proper Patola - Official Video ｜ Namaste England ｜ Arjun ｜ Parineeti ｜ Badshah ｜ Diljit ｜ Aastha.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Proper Patola - Official Video ｜ Namaste England ｜ Arjun ｜ Parineeti ｜ Badshah ｜ Diljit ｜ Aastha.mp3,applied,success,406160b70f9c763c386731928783d0ab10e132fc984787ad01d7ab87ac2ba5ad,406160b70f9c763c386731928783d0ab10e132fc984787ad01d7ab87ac2ba5ad
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Days of Summer ｜ Official Visualizer.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Smiley - Days of Summer ｜ Official Visualizer.mp3,applied,success,66602cb57a59da22b68970c96efcee5a3ada5a9e217e4bb59d874a97a3058e73,66602cb57a59da22b68970c96efcee5a3ada5a9e217e4bb59d874a97a3058e73
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Let Me Go ｜ Official Visualiser.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Smiley - Let Me Go ｜ Official Visualiser.mp3,applied,success,65dc310c893a9fd1d151930766b568bd354e063f63b37f5ded4e89e49e17e03e,65dc310c893a9fd1d151930766b568bd354e063f63b37f5ded4e89e49e17e03e
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Tomorrow ｜ Official Visualizer.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Smiley - Tomorrow ｜ Official Visualizer.mp3,applied,success,c5488b1be6cc60bbb4249ddae2c43a2e008f858bc22007e84fb06d7324d1ab9c,c5488b1be6cc60bbb4249ddae2c43a2e008f858bc22007e84fb06d7324d1ab9c
"C:\Users\suppo\Downloads\New Music\Top1000\Tera Fitoor Lyrical - Genius ｜ Utkarsh Sharma, Ishita Chauhan ｜ Arijit Singh ｜ Himesh Reshammiya.mp3","C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Tera Fitoor Lyrical - Genius ｜ Utkarsh Sharma, Ishita Chauhan ｜ Arijit Singh ｜ Himesh Reshammiya.mp3",applied,success,a07a525045e127d0f760dccc7e24aad3c0e1a16ab0ff4c5c6330b3dacc68a537,a07a525045e127d0f760dccc7e24aad3c0e1a16ab0ff4c5c6330b3dacc68a537
C:\Users\suppo\Downloads\New Music\Top1000\Travesuras - Nicky Jam ｜ Video Oficial.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Travesuras - Nicky Jam ｜ Video Oficial.mp3,applied,success,60e6af62207e03235415a01a0e19af36d1a2afba71d571f30638a0b94af1ec82,60e6af62207e03235415a01a0e19af36d1a2afba71d571f30638a0b94af1ec82
C:\Users\suppo\Downloads\New Music\Top1000_Club\Lycii - Yoko ｜ Diversity Release.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Lycii - Yoko ｜ Diversity Release.mp3,applied,success,4bce05d8d5260f216648d1c236a66f6700e121432b6a833dd225dfa8feb2fd97,4bce05d8d5260f216648d1c236a66f6700e121432b6a833dd225dfa8feb2fd97
