NGKsPlayerNative - Full Library Contents
Total tracks: 960
Generated: 2026-04-12

   ID  Artist                          Title                                               File Path
 2117  Confederate Railroad            Confederate Railroad - She Took It Like A Man       C:\Users\suppo\Music\Confederate Railroad - She Took It Like A Man.mp3
 2118  Confederate Railroad            Confederate Railroad - Trashy Women                 C:\Users\suppo\Music\Confederate Railroad - Trashy Women.mp3
 2119  Coolio                          Coolio - Fantastic Voyage                           C:\Users\suppo\Music\Coolio - Fantastic Voyage.mp3
 2120  Craig Morgan                    Craig Morgan - Almost Home                          C:\Users\suppo\Music\Craig Morgan - Almost Home.mp3
 2121  Craig Morgan                    Craig Morgan - Bonfire                              C:\Users\suppo\Music\Craig Morgan - Bonfire.mp3
 2122  Craig Morgan                    Craig Morgan - International Harvester              C:\Users\suppo\Music\Craig Morgan - International Harvester.mp3
 2123  Craig Morgan                    Craig Morgan - Little Bit of Life                   C:\Users\suppo\Music\Craig Morgan - Little Bit of Life.mp3
 2124  Craig Morgan                    Craig Morgan - More Trucks Than Cars                C:\Users\suppo\Music\Craig Morgan - More Trucks Than Cars.mp3
 2125  Craig Morgan                    Craig Morgan - Paradise                             C:\Users\suppo\Music\Craig Morgan - Paradise.mp3
 2126  Craig Morgan                    Craig Morgan - Redneck Yacht Club                   C:\Users\suppo\Music\Craig Morgan - Redneck Yacht Club.mp3
 2127  Craig Morgan                    Craig Morgan - This Ain't Nothin'                   C:\Users\suppo\Music\Craig Morgan - This Ain't Nothin'.mp3
 2128  Crazy Lixx                      Crazy Lixx - Hunter of the Heart                    C:\Users\suppo\Music\Crazy Lixx - Hunter of the Heart.mp3
 2129  Crazy Lixx                      Crazy Lixx - Killer                                 C:\Users\suppo\Music\Crazy Lixx - Killer.mp3
 2130  Crazy Lixx                      Crazy Lixx - Silent Thunder                         C:\Users\suppo\Music\Crazy Lixx - Silent Thunder.mp3
 2131  Creed                           Creed - One Last Breath                             C:\Users\suppo\Music\Creed - One Last Breath.mp3
 2132  Creed                           Creed - With Arms Wide Open                         C:\Users\suppo\Music\Creed - With Arms Wide Open.mp3
