group_id,source_type,member_count,selected_primary_path,selected_primary_name,primary_quality_score,primary_size_mb,reason,confidence
G0024,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T.mp3,Dimitri Vegas & Like Mike vs Sander van Doorn - Project T.mp3,65,8.9,quality=65; size=8.9MB; not temp file; margin=499,high
G0025,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\DJ Jazzy Jeff & The Fresh Prince - Summertime.mp3,DJ Jazzy Jeff & The Fresh Prince - Summertime.mp3,65,8.0,quality=65; size=8.0MB; not temp file; margin=1500,high
G0026,collision,3,C:\Users\suppo\Downloads\New Music\Top1000\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,DJ Snake - Let Me Love You ft. Justin Bieber.mp3,65,6.4,quality=65; size=6.4MB; not temp file; margin=0,low
G0027,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,65,9.6,quality=65; size=9.6MB; not temp file; margin=0,low
G0028,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Country\Easton Corbin - A Little More Country Than That.mp3,Easton Corbin - A Little More Country Than That.mp3,65,5.0,quality=65; size=5.0MB; not temp file; margin=1500,high
G0029,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Lose Yourself.mp3,Eminem - Lose Yourself.mp3,65,7.5,quality=65; size=7.5MB; not temp file; margin=0,low
G0030,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Mockingbird.mp3,Eminem - Mockingbird.mp3,65,8.3,quality=65; size=8.3MB; not temp file; margin=0,low
G0031,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eminem - My Name Is.mp3,Eminem - My Name Is.mp3,60,8.3,quality=60; size=8.3MB; not temp file; margin=500,high
G0032,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Rap God.mp3,Eminem - Rap God.mp3,60,12.2,quality=60; size=12.2MB; not temp file; margin=0,low
G0033,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Without Me.mp3,Eminem - Without Me.mp3,60,9.0,quality=60; size=9.0MB; not temp file; margin=0,low
