track_id,genre,subgenre,bpm_detected,tempo_stability,key_detected,harmonic_stability,bass_energy,mid_energy,high_energy,spectral_centroid,spectral_rolloff,spectral_flux,transient_density,onset_density,vocal_presence,instrumentalness,drum_presence,guitar_presence,synth_presence,section_repeat_score,dynamic_range_score,loudness_lufs,energy,danceability,valence,zero_crossing_rate,rms_mean,spectral_bandwidth,section_count,avg_section_duration
2751,Soundtrack,,95.7,0.9,5B,0.6222,,,,,,,,,,,,,,,,-26.1,0.421,0.779,,,,,3.0,72.69800000000001
2752,Rock,,156.0,,,0.8,,,,,,,,,,,,,,,,-14.0,0.24,0.44,,,,,,
2755,Country,,89.1,0.896,11B,0.6738,,,,,,,,,,,,,,,,-34.7,0.234,0.418,,,,,3.0,72.44466666666666
2758,Country,,120.0,,,0.8,,,,,,,,,,,,,,,,-14.0,0.76,1.0,,,,,,
2761,Pop,,123.0,0.8981,10B,0.3821,,,,,,,,,,,,,,,,-28.2,0.567,0.893,,,,,3.0,76.93133333333334
2763,Rock,,129.2,0.9,6A,0.6843,,,,,,,,,,,,,,,,-24.6,0.818,0.795,,,,,3.0,80.138
2766,Rock,,123.0,0.5981,9B,0.8543,,,,,,,,,,,,,,,,-31.2,0.231,0.65,,,,,3.0,134.63833333333332
2770,Country,,172.3,0.8,5B,0.657,,,,,,,,,,,,,,,,-23.4,0.85,0.63,,,,,2.0,121.963
2773,Rock,,112.3,0.8968,8B,0.7907,,,,,,,,,,,,,,,,-24.8,0.514,0.873,,,,,2.0,124.75200000000001
2775,Rock,Alternative,143.6,0.8992,3A,0.5903,,,,,,,,,,,,,,,,-29.8,0.578,0.859,,,,,3.0,80.46466666666667
2781,Pop,,88.1,0.8714,2B,0.8109,,,,,,,,,,,,,,,,-27.4,0.703,0.792,,,,,2.0,159.25650000000002
2808,Hip-Hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,Hip-Hop,G-Funk,94.0,0.8703,8B,0.5643,,,,,,,,,,,,,,,,-34.8,0.216,0.761,,,,,3.0,89.15033333333332
2828,Rock,Classic Rock,117.5,0.8977,7B,0.7698,,,,,,,,,,,,,,,,-29.0,0.588,0.901,,,,,3.0,115.02633333333334
2838,Hip-Hop,,99.4,0.8719,7B,0.7182,,,,,,,,,,,,,,,,-30.5,0.407,0.833,,,,,2.0,153.665
2841,Hip-Hop,,172.3,0.7979,11A,0.8459,,,,,,,,,,,,,,,,-27.6,0.524,0.692,,,,,3.0,64.89233333333333
